fhfb_id,district,member_name,city,state,zip,mem_type,char_type,cert,fed_id,ots_id,ncua_id,appr_date
"14335","Dallas","The Bank","Jennings","LA","70546","Commercial Bank","State","34409","2505460","","","25feb1997"
"14336","Des Moines","Fidelity Bank","Edina","MN","55435","Commercial Bank","State","20268","0009357","","","26feb1997"
"14337","Atlanta","First Bank","Troy","NC","27371","Commercial Bank","State","15019","0216922","","","27feb1997"
"14338","Atlanta","The Bank of Vernon","Vernon","AL","35592","Commercial Bank","State","00051","0382537","","","27feb1997"
"14339","Dallas","Bank of the Southwest","Roswell","NM","88201","Commercial Bank","State","02247","0499752","","","20feb1997"
"14340","Cincinnati","FREDONIA VALLEY BANK","Fredonia","KY","42411","Commercial Bank","State","09669","0502447","","","28feb1997"
"14344","Chicago","The First National Bank ","Mattoon","IL","61938","Commercial Bank","National","03817","0388940","","","04mar1997"
"14345","Topeka","Bank of the Panhandle - Guymon, OK","Guymon","OK","73942","Commercial Bank","State","22340","0192857","","","05mar1997"
"14346","Topeka","Canon National Bank","Canon City","CO","81212","Commercial Bank","National","21801","0708454","","","05mar1997"
"14347","Des Moines","Peoples Bank and Trust Company","Troy","MO","64479","Commercial Bank","State","08903","0909055","","","06mar1997"
"14349","Indianapolis","BAY PORT STATE BANK","Bay Port","MI","48720","Commercial Bank","State","15585","0961446","","","06mar1997"
"14351","Chicago","The State Bank of Lima","Lima","IL","62348","Commercial Bank","State","05735","0493143","","","06mar1997"
"14358","Indianapolis","UNION BANK","Lake Odessa","MI","48849","Commercial Bank","State","14722","0390840","","","12mar1997"
